Age,M,F
0-4,158372287,153331825
5-9,158056319,153398054
10-14,157617717,153241762
15-19,156491045,152482586
20-24,154100065,150706134
25-29,150719112,148006569
30-34,146554355,144503068
35-39,141516637,140163108
40-44,135737903,135130896
45-49,128847744,129137735
50-54,120386246,121899558
55-59,109831539,112919421
60-64,97168705,102144963
65-69,82420802,89416634
70-74,66006740,74705603
75-79,48224238,57889389
80-84,30019949,39168421
85-89,14051463,20639100
90-94,4688913,7988837
95-99,1090157,2145372
100+,167997,363836
