Age,M,F
0-4,136548717,132518219
5-9,128574233,125136480
10-14,120513219,117451847
15-19,112080404,109396117
20-24,103496891,101284262
25-29,95125586,93352558
30-34,86331074,84992907
35-39,74678463,73984651
40-44,63388306,63329980
45-49,53764601,54341941
50-54,45410600,46777174
55-59,37817752,40061813
60-64,30117083,33019074
65-69,22136744,25198028
70-74,14982229,17974413
75-79,9055221,11674354
80-84,4640840,6462845
85-89,1738995,2705157
90-94,433861,747139
95-99,63749,125521
100+,6324,13130
