Age,M,F
0-4,115672178,112237236
5-9,106418497,103483357
10-14,98486754,95835090
15-19,90189468,87905144
20-24,78670029,77088159
25-29,67448845,66500789
30-34,58037360,57576277
35-39,50120575,50201132
40-44,43211353,43887677
45-49,36327295,37494002
50-54,29172390,30545302
55-59,22816177,24465548
60-64,17429809,19350518
65-69,13010381,14892666
70-74,8822179,10651210
75-79,5196940,6659258
80-84,2389769,3395693
85-89,805782,1301885
90-94,188380,341779
95-99,29685,56337
100+,2768,5443
