Age,M,F
0-4,157379420,152307015
5-9,157523849,152797911
10-14,157556086,153091217
15-19,157013713,152889997
20-24,155460226,151927909
25-29,152853595,149991583
30-34,149394793,147199418
35-39,145074539,143587438
40-44,139749222,139024981
45-49,133497343,133690310
50-54,125763473,127208265
55-59,116180121,119263984
60-64,104107001,109206588
65-69,89251507,96591628
70-74,71989321,81270716
75-79,53086070,63506213
80-84,33982132,43997102
85-89,17224373,24865703
90-94,5961268,9972087
95-99,1358626,2673190
100+,203758,453440
