Age,M,F
0-4,158760806,153881562
5-9,156423867,152053172
10-14,153778828,149763422
15-19,150350897,146741984
20-24,145770178,142782425
25-29,140524065,138189706
30-34,134555316,132829457
35-39,127670675,126575192
40-44,119417279,119005504
45-49,109929852,110339066
50-54,99474679,100928010
55-59,88495710,91200849
60-64,76856466,81020764
65-69,63490537,69218695
70-74,46992630,53819896
75-79,31013038,38002306
80-84,17675312,23677562
85-89,8077430,12131070
90-94,2649384,4572642
95-99,580647,1123961
100+,72890,152994
