Age,M,F
0-4,130310905,126462504
5-9,121371390,118115570
10-14,112904145,110000787
15-19,104681061,102111799
20-24,96465103,94331712
25-29,87693415,86037331
30-34,76088939,75063789
35-39,64886551,64452279
40-44,55393066,55502288
45-49,47295203,48079308
50-54,40033850,41606544
55-59,32713547,34923896
60-64,25133529,27590624
65-69,18270866,20896046
70-74,12396689,14983079
75-79,7626260,9761691
80-84,3778163,5292493
85-89,1369659,2114745
90-94,308773,549809
95-99,46074,91117
100+,4959,10021
