Age,M,F
0-4,155644936,150962541
5-9,151726154,147607173
10-14,147640514,143888474
15-19,143048687,139695259
20-24,137373797,134610077
25-29,130720889,128572209
30-34,122891435,121316556
35-39,114076670,113088644
40-44,104689824,104303122
45-49,95222926,95520492
50-54,85571778,86761046
55-59,74876203,77218406
60-64,61050847,64719411
65-69,47148322,51921900
70-74,34428464,39851610
75-79,22877629,28394084
80-84,12887456,17626439
85-89,5570076,8547988
90-94,1622829,2823668
95-99,309060,603924
100+,37289,78785
