Age,M,F
0-4,108385473,105131182
5-9,99428170,96629797
10-14,91056231,88596268
15-19,79830455,77980277
20-24,68680559,67493096
25-29,59219473,58568321
30-34,51316996,51188975
35-39,44472414,44894916
40-44,37660088,38498471
45-49,30614422,31589925
50-54,24373125,25598570
55-59,19145179,20664287
60-64,14982798,16524407
65-69,10976482,12630594
70-74,7348975,8831870
75-79,4183363,5445888
80-84,1931033,2794975
85-89,670722,1092028
90-94,156559,279487
95-99,21797,41719
100+,1903,3932
