Age,M,F
0-4,146015035,141702366
5-9,140091223,136358574
10-14,134092836,130715883
15-19,126938672,123958342
20-24,118500129,116086291
25-29,109516543,107645882
30-34,100736786,99306050
35-39,92231636,91225781
40-44,83149759,82669973
45-49,71146125,71479514
50-54,59366119,60577626
55-59,49062452,51151209
60-64,39830476,42871403
65-69,31036786,34964348
70-74,22170418,26405111
75-79,13612923,17325765
80-84,6902766,9625903
85-89,2697237,4213476
90-94,743666,1294987
95-99,129181,249542
100+,13828,27749
