Age,M,F
0-4,158975067,153974221
5-9,158151526,153570513
10-14,157123171,152853281
15-19,155164534,151285450
20-24,152002200,148749423
25-29,147916981,145342339
30-34,143036682,141113649
35-39,137550517,136305187
40-44,131129890,130608642
45-49,123494434,123850084
50-54,114011108,115550918
55-59,102776435,105806735
60-64,90057072,94814122
65-69,75953166,82525492
70-74,60420454,68524874
75-79,43183817,52101010
80-84,25131438,33183163
85-89,11418065,16985266
90-94,3840085,6567466
95-99,907640,1764089
100+,133001,284532
