Age,M,F
0-4,123184731,119545576
5-9,113785365,110703767
10-14,105512226,102739525
15-19,97644119,95181657
20-24,89015900,87034739
25-29,77395599,76097038
30-34,66213110,65495135
35-39,56789782,56570545
40-44,48808162,49175797
45-49,41787403,42837084
50-54,34720042,36346268
55-59,27401758,29275362
60-64,20847558,22982608
65-69,15208655,17521549
70-74,10537339,12651443
75-79,6314596,8129051
80-84,3054180,4255991
85-89,1029092,1628808
90-94,232217,420262
95-99,36570,71597
100+,3912,7586
