Age,M,F
0-4,101498216,98412313
5-9,92042010,89449951
10-14,80720709,78707198
15-19,69849576,68414727
20-24,60449504,59581812
25-29,52484404,52193331
30-34,45647099,45887743
35-39,38868396,39483159
40-44,31838094,32523592
45-49,25665010,26546822
50-54,20520106,21681189
55-59,16524032,17710687
60-64,12713408,14088837
65-69,9221246,10560420
70-74,6029948,7342540
75-79,3453104,4564413
80-84,1643555,2396748
85-89,572286,924096
90-94,120723,216273
95-99,15587,31199
100+,1327,2723
