Age,M,F
0-4,149737510,145296676
5-9,144534335,140674703
10-14,139322259,135818114
15-19,133304014,130186705
20-24,125740430,123198075
25-29,117114033,115160370
30-34,108088445,106639163
35-39,99198284,98215739
40-44,90482546,89992724
45-49,81094573,81273819
50-54,68667546,69839973
55-59,56432507,58616379
60-64,45548600,48692198
65-69,35538082,39596888
70-74,25961387,30641732
75-79,16689731,21183977
80-84,8650713,11986488
85-89,3399203,5277967
90-94,943745,1662561
95-99,175892,339885
100+,19398,40065
