Age,M,F
0-4,159143059,154193055
5-9,157691027,153205664
10-14,155822477,151675397
15-19,153096088,149353099
20-24,149231015,146113370
25-29,144430192,141983266
30-34,139104109,137289670
35-39,132975924,131813981
40-44,125801993,125343473
45-49,117107845,117503419
50-54,106879402,108405357
55-59,95489131,98387651
60-64,83267614,87736686
65-69,69871159,76007281
70-74,54586058,62117520
75-79,36770987,44745421
80-84,20883402,27829875
85-89,9526343,14244697
90-94,3219292,5500655
95-99,733258,1428609
100+,102231,215122
