Age,M,F
0-4,141657481,137478147
5-9,134895255,131297109
10-14,127742597,124513910
15-19,119698059,116870993
20-24,110888226,108589486
25-29,102142363,100323836
30-34,93741158,92321442
35-39,84853059,83892009
40-44,73068989,72805100
45-49,61620843,62090332
50-54,51711616,52944693
55-59,43002984,45123206
60-64,34923918,37975341
65-69,26657843,30291323
70-74,18280780,21818559
75-79,11040316,14130362
80-84,5588177,7845634
85-89,2192487,3391905
90-94,569132,994289
95-99,95376,179597
100+,8882,18624
