Age,M,F
0-4,153038263,148469725
5-9,148342703,144354659
10-14,143798291,140172180
15-19,138552502,135315713
20-24,132111975,129452420
25-29,124347241,122292894
30-34,115667282,114166191
35-39,106520424,105553189
40-44,97407396,96973745
45-49,88358478,88565681
50-54,78415877,79524506
55-59,65415713,67695134
60-64,52515738,55909777
65-69,40761725,45091482
70-74,29892356,34861934
75-79,19709105,24782203
80-84,10781171,14884992
85-89,4364933,6728286
90-94,1222412,2143326
95-99,231427,453503
100+,27299,56871
