Age,M,F
0-4,7980589,7591933
5-9,8197793,7795166
10-14,8438206,8021649
15-19,8690096,8240763
20-24,8919967,8426298
25-29,9135330,8604770
30-34,9339888,8785137
35-39,9548042,8982425
40-44,9747931,9182020
45-49,9947479,9393322
50-54,10113654,9594769
55-59,10195649,9746328
60-64,10107337,9775216
65-69,9785924,9633400
70-74,9181692,9272148
75-79,8184243,8569393
80-84,6676971,7361093
85-89,4635393,5515222
90-94,2237555,2944266
95-99,747123,1159267
100+,125191,251787
