Age,M,F
0-4,29783350,28445679
5-9,29429796,28231156
10-14,29092967,27979353
15-19,28525343,27508163
20-24,27692959,26824444
25-29,26693150,25973605
30-34,25530273,24954221
35-39,24289730,23852071
40-44,22795310,22496524
45-49,21161277,21032423
50-54,19163173,19251281
55-59,16818130,17158707
60-64,14162209,14754706
65-69,11234547,12022782
70-74,8140588,9004945
75-79,5013193,5804276
80-84,2312756,2844273
85-89,708749,949674
90-94,121227,186701
95-99,10945,20914
100+,591,1460
