Age,M,F
0-4,29734847,28401873
5-9,29455847,28259092
10-14,29238572,28122497
15-19,28893083,27867979
20-24,28212834,27338304
25-29,27333723,26613480
30-34,26315790,25743810
35-39,25132323,24705504
40-44,23836086,23555567
45-49,22240879,22135566
50-54,20431921,20555311
55-59,18199715,18596856
60-64,15535711,16218102
65-69,12455978,13369536
70-74,9098739,10111657
75-79,5710377,6647901
80-84,2773750,3440484
85-89,885415,1201876
90-94,159887,250686
95-99,14689,28806
100+,783,2005
