Age,M,F
0-4,12381265,11826595
5-9,12429798,11876991
10-14,12420025,11875704
15-19,12614976,12117202
20-24,13018502,12587016
25-29,13421224,13050545
30-34,13746316,13424230
35-39,13971251,13684086
40-44,14065562,13808244
45-49,14015826,13795186
50-54,13678402,13513517
55-59,13130387,13051535
60-64,12872119,12898700
65-69,12756033,12932116
70-74,11827460,12170979
75-79,10967076,11501410
80-84,9862988,10591677
85-89,7206373,8158356
90-94,4163670,5156635
95-99,1586251,2198803
100+,363869,610284
