Age,M,F
0-4,12346495,11793100
5-9,12354764,11805287
10-14,12272930,11735159
15-19,12413423,11924947
20-24,12874266,12450637
25-29,13370536,13005926
30-34,13740633,13425835
35-39,13942429,13666102
40-44,13982085,13740942
45-49,13735706,13536613
50-54,13291338,13150829
55-59,13150814,13079417
60-64,13170180,13213895
65-69,12393308,12584651
70-74,11798038,12153416
75-79,11181298,11688680
80-84,9072726,9841214
85-89,6426029,7447440
90-94,3641451,4603071
95-99,1436542,2018953
100+,338252,570005
