Age,M,F
0-4,12125294,11581635
5-9,12006856,11473024
10-14,11929151,11407652
15-19,12224080,11746567
20-24,12828449,12412327
25-29,13349053,12996019
30-34,13641418,13348562
35-39,13590137,13348852
40-44,13325685,13129247
45-49,13396586,13223984
50-54,13672015,13541387
55-59,13139146,13091496
60-64,12852875,12914169
65-69,12736974,12886534
70-74,11247552,11647627
75-79,9411160,10155504
80-84,7362082,8338611
85-89,5371470,6453099
90-94,3275107,4195752
95-99,1325191,1928355
100+,262489,486057
