Age,M,F
0-4,12721740,12152189
5-9,12663626,12101309
10-14,12602599,12050924
15-19,12873551,12364573
20-24,13445975,12993825
25-29,13923243,13524159
30-34,14158681,13804982
35-39,14193779,13875048
40-44,14176907,13885521
45-49,14163478,13900514
50-54,14105407,13885824
55-59,13921348,13775693
60-64,13572155,13540409
65-69,12921585,13036037
70-74,12034894,12318128
75-79,11273587,11753670
80-84,10278966,11023990
85-89,8073565,9056809
90-94,5355645,6445796
95-99,2439735,3229948
100+,567977,908853
