Age,M,F
0-4,11782735,11255414
5-9,11819078,11295874
10-14,11887776,11371723
15-19,12212846,11740996
20-24,12743921,12340898
25-29,13010040,12684937
30-34,12995513,12742895
35-39,13270833,13049257
40-44,13751202,13551273
45-49,13438663,13274850
50-54,13417935,13287246
55-59,13618098,13486431
60-64,12403219,12488563
65-69,10912461,11354175
70-74,9382670,10098271
75-79,8220471,9143229
80-84,7071728,8065096
85-89,5421180,6683092
90-94,2929509,4091551
95-99,927048,1517430
100+,148204,312052
