Age,M,F
0-4,11738022,11214033
5-9,11823869,11302314
10-14,11873823,11360738
15-19,12147315,11682551
20-24,12477983,12090682
25-29,12635876,12331256
30-34,13059715,12800677
35-39,13655019,13425260
40-44,13437561,13242405
45-49,13526555,13345883
50-54,13872731,13648371
55-59,12787319,12741157
60-64,11409230,11703035
65-69,10014402,10583248
70-74,9098222,9876151
75-79,8383106,9227319
80-84,7319915,8545887
85-89,5004273,6455840
90-94,2408124,3547027
95-99,714612,1238002
100+,97759,222907
