Age,M,F
0-4,11673967,11159885
5-9,11494725,10996806
10-14,11198314,10724806
15-19,11617263,11171726
20-24,12610673,12208286
25-29,12818990,12485575
30-34,13272137,12969008
35-39,13969556,13593786
40-44,13216742,12961527
45-49,12184244,12188140
50-54,11148338,11341059
55-59,10703264,11013350
60-64,10716570,10972089
65-69,10789397,11399380
70-74,9582293,10697946
75-79,7391403,8813850
80-84,5035351,6487903
85-89,2520679,3684548
90-94,1039049,1712918
95-99,277214,580382
100+,44148,131576
