Age,M,F
0-4,11079310,10596621
5-9,11261703,10768118
10-14,11795671,11284431
15-19,11855544,11383443
20-24,12534918,12095111
25-29,13538215,13038538
30-34,13022441,12664445
35-39,12184440,12091085
40-44,11346259,11418459
45-49,11162567,11281957
50-54,11540511,11470476
55-59,12088347,12223601
60-64,11329877,11911045
65-69,9516182,10459964
70-74,7515604,8637538
75-79,4896991,6060432
80-84,3162428,4115644
85-89,1744375,2686806
90-94,786849,1517575
95-99,196023,500414
100+,22267,83419
