Age,M,F
0-4,12452995,11895290
5-9,12464918,11910931
10-14,12495180,11947619
15-19,12762355,12258045
20-24,13221009,12779809
25-29,13567819,13187895
30-34,13800984,13470655
35-39,13981449,13684991
40-44,14098939,13829360
45-49,14104392,13866565
50-54,13963642,13776754
55-59,13522930,13419623
60-64,12869761,12885140
65-69,12492017,12644000
70-74,12206454,12536362
75-79,11038726,11559909
80-84,9737461,10485628
85-89,7916559,8872359
90-94,4745050,5740805
95-99,1848524,2514911
100+,406781,674276
