Age,M,F
0-4,11192398,10696522
5-9,11742749,11225224
10-14,11563873,11047872
15-19,12034551,11515547
20-24,13097106,12516214
25-29,12722976,12304783
30-34,12018725,11879724
35-39,11286659,11317421
40-44,11205957,11276585
45-49,11725790,11569489
50-54,12475467,12455760
55-59,11917928,12275321
60-64,10240238,10939037
65-69,8361076,9263973
70-74,5773086,6792562
75-79,4123662,4985682
80-84,2729478,3769795
85-89,1650227,2745619
90-94,635220,1360649
95-99,129621,394506
100+,12702,59270
