Age,M,F
0-4,12950290,12370801
5-9,12939616,12365056
10-14,12872183,12308607
15-19,13073133,12555698
20-24,13556324,13098949
25-29,14042280,13634408
30-34,14396210,14025092
35-39,14562671,14218813
40-44,14548439,14229089
45-49,14392920,14103654
50-54,14208203,13962014
55-59,14017203,13839709
60-64,13764027,13690794
65-69,13374676,13440970
70-74,12789059,13028009
75-79,11799916,12245388
80-84,10331111,11027631
85-89,8504880,9493644
90-94,5935764,7122449
95-99,2665791,3549277
100+,711103,1142705
