Age,M,F
0-4,11732974,11212796
5-9,11749654,11237415
10-14,11555176,11063302
15-19,11525053,11093614
20-24,12190334,11810132
25-29,13114552,12782281
30-34,13152926,12880427
35-39,13457532,13202524
40-44,14034158,13703236
45-49,13183971,12976550
50-54,12048053,12115960
55-59,10890824,11180320
60-64,10296094,10750202
65-69,10116108,10573040
70-74,9914599,10762639
75-79,8409137,9739118
80-84,5965211,7500442
85-89,3488367,4864089
90-94,1344566,2197540
95-99,358841,681235
100+,53260,142791
