Age,M,F
0-4,12271797,11721707
5-9,12207864,11664828
10-14,12071739,11543171
15-19,12270348,11789140
20-24,12826518,12407284
25-29,13369171,13009591
30-34,13716278,13410397
35-39,13863324,13601934
40-44,13705704,13485658
45-49,13352558,13177690
50-54,13325307,13189484
55-59,13476231,13415600
60-64,12821003,12879835
65-69,12397172,12596974
70-74,12081763,12400153
75-79,10357717,10932793
80-84,8180922,9080112
85-89,5712247,6761067
90-94,3363637,4317474
95-99,1368558,1919371
100+,312205,546422
