Age,M,F
0-4,11924642,11390278
5-9,11864452,11337797
10-14,11883447,11365514
15-19,12227704,11752434
20-24,12811596,12400091
25-29,13278088,12935753
30-34,13370986,13096881
35-39,13212610,12994023
40-44,13377260,13180835
45-49,13758525,13586884
50-54,13344361,13224485
55-59,13193973,13142435
60-64,13238190,13235093
65-69,11899684,12137918
70-74,10273254,10866228
75-79,8540903,9394812
80-84,7015323,8054663
85-89,5331317,6384600
90-94,3253913,4314515
95-99,1161682,1789808
100+,201988,398709
