Age,M,F
0-4,12855004,12279579
5-9,12806139,12237344
10-14,12729452,12172374
15-19,12945953,12434034
20-24,13482880,13028926
25-29,14002647,13598094
30-34,14312985,13949160
35-39,14404853,14072408
40-44,14334102,14029282
45-49,14231668,13956414
50-54,14133370,13900412
55-59,13978581,13816240
60-64,13692306,13638025
65-69,13237254,13327574
70-74,12457356,12718698
75-79,11362314,11823205
80-84,10193676,10903224
85-89,8497878,9507711
90-94,5561112,6680328
95-99,2518351,3350910
100+,661092,1052295
