Age,M,F
0-4,11744257,11221571
5-9,11810779,11292096
10-14,11811440,11305101
15-19,11886988,11436922
20-24,12108814,11740993
25-29,12707771,12393493
30-34,13454831,13182614
35-39,13347521,13119552
40-44,13537435,13319994
45-49,14005122,13719675
50-54,13047128,12904107
55-59,11790325,11954192
60-64,10510159,10930717
65-69,9767637,10384904
70-74,9361221,10019638
75-79,8794311,9857864
80-84,6896793,8367226
85-89,4233233,5706567
90-94,1923255,2963149
95-99,481899,896246
100+,70683,168893
