Age,M,F
0-4,12579425,12016346
5-9,12536874,11979962
10-14,12530531,11981782
15-19,12837836,12330176
20-24,13369358,12921147
25-29,13772452,13381697
30-34,13950950,13609655
35-39,14040195,13733997
40-44,14113730,13833612
45-49,14143068,13892044
50-54,14059166,13854234
55-59,13815340,13689808
60-64,13269498,13261274
65-69,12512077,12650097
70-74,11985280,12286306
75-79,11436614,11951495
80-84,9860708,10602354
85-89,7894067,8873896
90-94,5289634,6346749
95-99,2149258,2862811
100+,478276,780145
