Age,M,F
0-4,11653472,11130901
5-9,11495125,10973330
10-14,11689567,11147503
15-19,12543435,11891837
20-24,12331416,11795012
25-29,11704147,11487022
30-34,11093952,11083798
35-39,11131716,11159606
40-44,11785659,11574499
45-49,12685202,12565600
50-54,12271368,12487797
55-59,10751426,11257816
60-64,8950664,9682086
65-69,6433321,7295887
70-74,4882896,5599511
75-79,3599912,4596715
80-84,2628185,3887134
85-89,1408135,2540669
90-94,481526,1157116
95-99,87665,307301
100+,8596,48897
