Age,M,F
0-4,62365571,56617737
5-9,66646489,60178746
10-14,67053638,59760885
15-19,65438169,58205670
20-24,62756892,55949146
25-29,59663745,53820136
30-34,54918049,49976467
35-39,47649721,44166159
40-44,41950233,39371659
45-49,36685165,34660631
50-54,32088187,30468818
55-59,27051249,25936429
60-64,21877501,21335021
65-69,14308182,14868579
70-74,9711446,10545786
75-79,6157964,7144301
80-84,3217906,3829288
85-89,1281437,1536455
90-94,326729,433310
95-99,64138,100747
100+,10920,23090
