Age,M,F
0-4,37779273,34991958
5-9,38791449,35933771
10-14,40000612,37066010
15-19,41366830,38330944
20-24,43014074,39839176
25-29,44702961,41431858
30-34,46002516,42757631
35-39,46999406,43889101
40-44,47785886,44853626
45-49,48976196,46226702
50-54,50687487,47936660
55-59,51814179,49220787
60-64,50997766,48936859
65-69,48145906,46973624
70-74,42970952,43389963
75-79,36004785,38150025
80-84,28184517,31857974
85-89,16714290,20564563
90-94,6845194,9734220
95-99,1901465,3340131
100+,364273,859779
