Age,M,F
0-4,47387654,43987415
5-9,48689697,45213936
10-14,49897070,46352380
15-19,51637894,47965405
20-24,54140415,50043560
25-29,56588555,52032130
30-34,57828361,52985697
35-39,57998090,53090655
40-44,57417903,52891006
45-49,57284892,53052239
50-54,59951846,55809401
55-59,57864604,53989503
60-64,52885577,50428291
65-69,45997613,45311200
70-74,37384295,38852052
75-79,26763221,29700210
80-84,15637323,18921320
85-89,7346626,9776059
90-94,2399847,3593736
95-99,579598,1001904
100+,112700,226643
