Age,M,F
0-4,67463887,60373448
5-9,64293179,57517067
10-14,61559348,55697837
15-19,57217425,52032526
20-24,50125972,46014110
25-29,44587723,41069625
30-34,39598604,36403315
35-39,35536673,32559309
40-44,31292290,28613688
45-49,27098397,24864643
50-54,19692899,19046684
55-59,15821788,15717391
60-64,12877490,13375035
65-69,9518418,10091037
70-74,6414933,6743000
75-79,3743305,4005357
80-84,1783948,2014596
85-89,607741,782890
90-94,131397,212595
95-99,19764,43296
100+,2683,10235
