Age,M,F
0-4,45700136,42403973
5-9,47208495,43821530
10-14,48527533,45069458
15-19,49706500,46165050
20-24,51345466,47672240
25-29,53754935,49720722
30-34,56114672,51739094
35-39,57202866,52673022
40-44,57223689,52694444
45-49,56443136,52367233
50-54,55908313,52228166
55-59,57724563,54457425
60-64,54612002,51984866
65-69,48439180,47392357
70-74,39886873,40856027
75-79,29736063,32735622
80-84,18598607,22244011
85-89,8696021,11603419
90-94,2884728,4417018
95-99,689164,1242389
100+,132728,284802
