Age,M,F
0-4,59915824,54720954
5-9,60512360,54920827
10-14,60562054,54997893
15-19,61300117,55549263
20-24,65501631,59065046
25-29,65548912,58386303
30-34,63521051,56672001
35-39,60454802,54436209
40-44,56935406,52249911
45-49,51634497,48161642
50-54,43769976,41835449
55-59,37066971,36181829
60-64,30532614,30331427
65-69,24461930,24674297
70-74,17937849,18557034
75-79,11647426,12555004
80-84,5453246,6444889
85-89,2249596,2824370
90-94,675703,923266
95-99,157806,227689
100+,34326,52927
