Age,M,F
0-4,43691794,40524236
5-9,45532979,42247750
10-14,47053886,43682482
15-19,48345498,44888836
20-24,49430652,45883843
25-29,50987168,47365815
30-34,53317676,49446491
35-39,55534960,51446327
40-44,56483584,52300467
45-49,56316465,52202463
50-54,55178089,51605295
55-59,53966173,51046701
60-64,54680650,52571625
65-69,50281213,49059193
70-74,42334216,43008580
75-79,32087820,34752736
80-84,20978997,24855711
85-89,10543739,13907824
90-94,3496323,5378417
95-99,840207,1558015
100+,156168,354492
