Age,M,F
0-4,68391874,61151111
5-9,66315926,59066975
10-14,63782894,57010814
15-19,61074040,55186490
20-24,56563709,51305025
25-29,49379563,45301096
30-34,43813617,40477175
35-39,38782123,35872212
40-44,34629832,32018517
45-49,30233392,27994493
50-54,25782165,24078952
55-59,18296224,18106791
60-64,14157575,14464461
65-69,10846358,11695731
70-74,7394023,8164694
75-79,4462225,4890681
80-84,2167222,2464368
85-89,772711,971201
90-94,172854,264514
95-99,29770,59896
100+,4116,12514
