Age,M,F
0-4,58060930,53364229
5-9,59596609,54417024
10-14,60277311,54710265
15-19,60294583,54737536
20-24,60884479,55150130
25-29,64937329,58616297
30-34,64895001,57976718
35-39,62701561,56242497
40-44,59439379,53894720
45-49,55618876,51532224
50-54,49885923,47058542
55-59,41499474,40303166
60-64,34236628,34155559
65-69,27157419,27625000
70-74,20315397,21217756
75-79,13436700,14617010
80-84,7515158,8573529
85-89,2785728,3494977
90-94,805333,1097493
95-99,192994,291622
100+,42371,68333
