Age,M,F
0-4,38925160,36062898
5-9,40131380,37188533
10-14,41518445,38489434
15-19,43236552,40083887
20-24,44984996,41692135
25-29,46334228,42975592
30-34,47415038,44106664
35-39,48273876,45117667
40-44,49566583,46573406
45-49,51528489,48476715
50-54,53164581,50073179
55-59,53073692,50243388
60-64,51225793,49067231
65-69,47643209,46754024
70-74,42715172,43369667
75-79,37430327,39920537
80-84,26996631,30583663
85-89,15166381,19003238
90-94,5937072,8670938
95-99,1597930,2905700
100+,294102,705606
