Age,M,F
0-4,60872875,55274791
5-9,60818568,55233175
10-14,61591819,55838062
15-19,65969926,59518826
20-24,66159240,58874388
25-29,64212430,57109924
30-34,61308809,54888704
35-39,57980519,52818563
40-44,52939113,48883894
45-49,45397147,42890959
50-54,39205503,37659471
55-59,33180167,32258489
60-64,27635048,27256155
65-69,21749999,21771413
70-74,15695761,16132407
75-79,8546019,9587205
80-84,4456487,5312156
85-89,1910651,2430668
90-94,550114,727115
95-99,125883,172882
100+,25457,40836
