Age,M,F
0-4,52249066,48529675
5-9,54860740,50726417
10-14,57566512,52915568
15-19,59133320,53990608
20-24,59645914,54109521
25-29,59415759,53976476
30-34,59817818,54392679
35-39,63584191,57841825
40-44,63155835,57065745
45-49,60440915,55049035
50-54,56374253,52138021
55-59,51306952,48820870
60-64,44113955,43225521
65-69,34538241,35190931
70-74,25759978,27379736
75-79,17331079,19336865
80-84,10132381,11928568
85-89,4585901,5731738
90-94,1424652,1935206
95-99,285817,449329
100+,58225,103365
