Age,M,F
0-4,36528434,33825073
5-9,37650371,34866915
10-14,38664424,35813934
15-19,39854141,36911394
20-24,41154889,38093506
25-29,42747388,39588149
30-34,44390795,41224603
35-39,45614082,42553618
40-44,46549362,43644058
45-49,47256037,44537272
50-54,48240237,45744714
55-59,49504388,47176630
60-64,49947795,48030727
65-69,48159992,46991193
70-74,43745999,43802805
75-79,36627746,38448167
80-84,27554964,30786396
85-89,17859552,21785245
90-94,7791199,10791049
95-99,2262611,3837911
100+,442907,1010625
