Age,M,F
0-4,41800984,38754995
5-9,43535631,40376801
10-14,45385316,42113619
15-19,46880173,43507972
20-24,48083962,44617506
25-29,49095288,45590962
30-34,50583926,47109502
35-39,52788497,49175922
40-44,54876055,51100975
45-49,55649975,51840041
50-54,55145339,51491894
55-59,53395081,50516707
60-64,51307351,49398381
65-69,50608511,49807505
70-74,44292723,44793171
75-79,34451788,36915471
80-84,22995426,26737333
85-89,12138071,15837334
90-94,4349292,6611919
95-99,1036378,1937144
100+,188394,445366
