Age,M,F
0-4,35206029,32593152
5-9,36403878,33704040
10-14,37526400,34749524
15-19,38522671,35662504
20-24,39651155,36680008
25-29,40901963,37851026
30-34,42453712,39391291
35-39,44028586,41033210
40-44,45199602,42325944
45-49,46070588,43352857
50-54,46605287,44102677
55-59,47211104,45070063
60-64,47872059,46117216
65-69,47391007,46252554
70-74,44081930,44017011
75-79,37709695,39083395
80-84,28499105,31358800
85-89,17886606,21396641
90-94,8614376,11703688
95-99,2668330,4355267
100+,539994,1180667
