Age,M,F
0-4,50276426,46694653
5-9,52019680,48319716
10-14,54667903,50557534
15-19,57338532,52697528
20-24,58774719,53650818
25-29,59182417,53739750
30-34,58894204,53646423
35-39,59162683,54045199
40-44,62694188,57368415
45-49,61930379,56418926
50-54,58705080,54019127
55-59,53867759,50586002
60-64,47899738,46590382
65-69,39803709,40047410
70-74,29290963,31045366
75-79,19857600,22352820
80-84,11573551,13854711
85-89,5374477,6884976
90-94,1706506,2398331
95-99,403206,634670
100+,69903,129656
