Age,M,F
0-4,48882529,45391427
5-9,50067498,46503349
10-14,51839330,48160919
15-19,54453490,50351628
20-24,57003611,52373038
25-29,58334454,53294711
30-34,58658546,53418994
35-39,58227330,53307755
40-44,58328081,53610037
45-49,61524722,56746264
50-54,60248651,55427428
55-59,56237128,52518233
60-64,50471577,48428965
65-69,43432515,43384814
70-74,34003257,35603886
75-79,22810165,25627097
80-84,13429941,16262198
85-89,6229808,8162203
90-94,2032680,2954687
95-99,484017,799004
100+,94021,177989
