Age,M,F
0-4,67328204,60884091
5-9,67487804,60140170
10-14,65845111,58599851
15-19,63304646,56502952
20-24,60395850,54443208
25-29,55749491,50548934
30-34,48547628,44686028
35-39,42927606,39923210
40-44,37817318,35305100
45-49,33507006,31359091
50-54,28848729,27146307
55-59,24076311,22943952
60-64,16513269,16728932
65-69,12099005,12717545
70-74,8570117,9531856
75-79,5236919,5971099
80-84,2650505,3044157
85-89,976680,1209248
90-94,233257,336881
95-99,42040,76889
100+,6685,17481
