Age,M,F
0-4,55116478,50961705
5-9,57773873,53097174
10-14,59375500,54221656
15-19,60022616,54465940
20-24,59900830,54362888
25-29,60371895,54742091
30-34,64321903,58230120
35-39,64107940,57566539
40-44,61711686,55720809
45-49,58141766,53202082
50-54,53833294,50429886
55-59,47422631,45449897
60-64,38466692,38190997
65-69,30594401,31292140
70-74,22707710,23963648
75-79,15358825,16915630
80-84,8764585,10141649
85-89,3884321,4744432
90-94,1009102,1390337
95-99,228973,350134
100+,50446,86299
