Age,M,F
0-4,46437638,40500636
5-9,45436987,38976431
10-14,44264668,38373649
15-19,46554380,41121099
20-24,51864604,46729764
25-29,66864149,62590787
30-34,51711405,48999501
35-39,49705968,47266940
40-44,61857540,59110474
45-49,63435589,61773461
50-54,51414420,49666375
55-59,40972684,39852704
60-64,40173473,39907887
65-69,25506514,26217514
70-74,16608421,17360441
75-79,11127053,12847147
80-84,5816694,8076861
85-89,2143736,3544586
90-94,518058,1134237
95-99,86423,254931
100+,7600,34437
