Age,M,F
0-4,29217198,27305026
5-9,29940202,27980247
10-14,30917666,28893655
15-19,32009568,29916768
20-24,33031722,30875663
25-29,33840119,31642442
30-34,34111619,31917282
35-39,34541932,32352282
40-44,35880463,33022569
45-49,38677267,35014541
50-54,42520002,37926994
55-59,43752221,38496317
60-64,41806337,36430823
65-69,39009780,34806889
70-74,38059210,35412156
75-79,37011445,36565139
80-84,37653316,40914564
85-89,19275240,22921399
90-94,9189448,12532526
95-99,3743666,6351428
100+,704708,1882384
