Age,M,F
0-4,30988738,28961030
5-9,32138206,30041551
10-14,33311538,31146191
15-19,34212604,31997735
20-24,34470812,32252715
25-29,34858391,32639609
30-34,36186283,33287563
35-39,39048177,35314615
40-44,43081906,38337714
45-49,44664787,39101968
50-54,43280114,37357301
55-59,41454914,36362857
60-64,42483224,38362300
65-69,45213017,42380502
70-74,53427487,53598117
75-79,34983952,37410728
80-84,25335469,29319854
85-89,19609177,25292604
90-94,9122945,14212200
95-99,2170684,4342518
100+,294094,974441
