Age,M,F
0-4,26981505,25215511
5-9,27774848,25956410
10-14,28457480,26593653
15-19,29059671,27152280
20-24,29646167,27693654
25-29,30470926,28460470
30-34,31501539,29429348
35-39,32566595,30437243
40-44,33423622,31260043
45-49,33692947,31550366
50-54,34023203,31930425
55-59,35102347,32453362
60-64,37339356,34113907
65-69,40036199,36317969
70-74,39291233,35612370
75-79,34376492,31542590
80-84,27504169,26609944
85-89,20547721,21515273
90-94,12631327,14976598
95-99,6148559,8980776
100+,1076988,2344118
