Age,M,F
0-4,47124480,41568117
5-9,52529087,47273938
10-14,67972329,63443077
15-19,52908190,49887010
20-24,50992051,48167365
25-29,63568363,60244382
30-34,65592255,63202883
35-39,53845215,51265265
40-44,43903890,41786171
45-49,45058543,43122864
50-54,31312992,30052659
55-59,24071552,22197439
60-64,21644604,19905628
65-69,17699639,17246936
70-74,12096530,12628008
75-79,6892664,8565201
80-84,3564130,5136797
85-89,1168239,2062956
90-94,216421,516597
95-99,24899,82453
100+,1683,7263
