Age,M,F
0-4,26103766,24395157
5-9,26947612,25182988
10-14,27750219,25932344
15-19,28365529,26503474
20-24,28889319,26986154
25-29,29472096,27525750
30-34,30324307,28320675
35-39,31381645,29317483
40-44,32449570,30332233
45-49,33282254,31141941
50-54,33489299,31397412
55-59,33696401,31705854
60-64,34539833,32088370
65-69,36292506,33440434
70-74,38003431,34987503
75-79,35708432,33203813
80-84,29048988,27644496
85-89,20398742,20784228
90-94,12129320,13927697
95-99,5292399,7310976
100+,1565632,3206644
