Age,M,F
0-4,68872194,64094588
5-9,53316561,50169756
10-14,51489006,48525604
15-19,64345914,60807019
20-24,66518943,63877295
25-29,54736019,51907908
30-34,44821763,42432932
35-39,46359500,44018789
40-44,32707193,30995258
45-49,25902876,23303843
50-54,24462060,21598087
55-59,21855872,19828966
60-64,17583763,16091508
65-69,13105870,13151297
70-74,9816398,10593783
75-79,5277930,6823984
80-84,2004682,3334716
85-89,571309,1193395
90-94,99362,240716
95-99,11588,32154
100+,672,2608
