Age,M,F
0-4,40107551,36234058
5-9,44354672,39398851
10-14,46238892,40353824
15-19,45188378,38775600
20-24,43826509,38000411
25-29,45952663,40628565
30-34,51177792,46214741
35-39,66015884,62004795
40-44,50939010,48468164
45-49,48770172,46641663
50-54,60194890,58059849
55-59,60710271,60087817
60-64,47639345,47353201
65-69,35643143,36541479
70-74,31093594,34020143
75-79,16096416,19679877
80-84,7797355,10582594
85-89,3503286,5612795
90-94,1019844,2180747
95-99,172782,516142
100+,18115,92368
